iter	RMSE
0	244.8717361
1	241.1543287
2	238.8426911
3	236.6395813
4	234.1453984
5	232.2732561
6	229.7165403
7	226.3472866
8	223.9888627
9	221.377626
10	218.8655235
11	216.766006
12	213.8305801
13	211.442451
14	208.944663
15	206.6449714
16	204.0608874
17	201.2732803
18	198.9254737
19	197.0371675
20	193.9528568
21	191.1717423
22	189.2456728
23	186.9879192
24	184.9711149
25	182.1728845
26	180.2422129
27	177.7446185
28	175.172309
29	172.6085604
30	170.9863225
31	169.1153349
32	167.2858104
33	165.6846141
34	164.3334199
35	162.1479594
36	160.0168148
37	158.4059382
38	157.4891002
39	155.6454869
40	154.2437554
41	152.7486395
42	151.2903754
43	149.9548738
44	148.3900434
45	146.993074
46	145.5699323
47	143.8136278
48	142.465541
49	141.4379876
50	140.1425084
51	138.9351626
52	137.810204
53	136.4700945
54	134.9402197
55	133.5403747
56	132.0598322
57	130.7478826
58	129.6794191
59	128.868209
60	127.2435073
61	126.3936991
62	125.2756235
63	124.2511772
64	123.3920264
65	122.4399364
66	120.9822734
67	119.5209568
68	118.5582587
69	117.9599974
70	116.8458636
71	116.2652895
72	115.0047275
73	113.95814
74	112.7820876
75	111.6639959
76	110.6730288
77	109.7172888
78	108.4521354
79	107.2591693
80	106.3862002
81	105.2277777
82	104.3252194
83	103.6698911
84	103.0902728
85	102.2033149
86	101.2344662
87	100.2238766
88	99.14007744
89	98.75334766
90	97.89282818
91	97.1803727
92	96.41350894
93	95.84875176
94	94.98007566
95	94.12267514
96	93.60141956
97	92.80322098
98	91.94614002
99	91.24984451
100	90.44008185
101	89.83778698
102	89.10167407
103	88.46120506
104	88.09392872
105	87.27617936
106	86.3947225
107	85.66318925
108	85.18694589
109	84.38841182
110	83.59280409
111	83.25820841
112	82.49641012
113	81.71462195
114	80.93615398
115	80.35794364
116	79.83765124
117	79.08382586
118	78.37859244
119	77.79236391
120	77.14210528
121	76.59922565
122	76.04641661
123	75.69430002
124	75.21341177
125	74.92545899
126	74.38652466
127	73.87001606
128	73.2321292
129	72.90054149
130	72.45217599
131	71.85533167
132	71.24816148
133	70.97435217
134	70.53636212
135	70.29846632
136	70.08434477
137	69.69303502
138	69.32502883
139	68.94704012
140	68.55681761
141	67.98521187
142	67.55101202
143	67.20951219
144	66.8109455
145	66.16679811
146	65.70489236
147	65.26746193
148	64.87464239
149	64.41793063
150	64.14837542
151	63.80284735
152	63.41160763
153	62.94514869
154	62.4813634
155	62.17467006
156	61.75255781
157	61.33590717
158	60.94384653
159	60.48484004
160	60.08866099
161	59.74158372
162	59.34287951
163	59.06104684
164	58.71987036
165	58.42709969
166	58.02322229
167	57.60199385
168	57.1887182
169	56.68845171
170	56.40592942
171	55.98169415
172	55.62940127
173	55.22875126
174	54.82089077
