,Pozo,Num BHA,MD,TVD,DLS Mean,Azi Mean,Inc Mean,Inc Max,Azi Max,DLS Max,MW,Tiempo,Tipo Pozo,Duracion
0,CASTILLA 1,5,7272.5,7268.9,1.097313232338512,228.07649006622503,2.144701986754966,3.5,356.33,3.79,10.229508196721316,43.0,TIPO J,864.0
1,CASTILLA 1,5,7272.5,7268.9,1.097313232338512,228.07649006622503,2.144701986754966,3.5,356.33,3.79,10.229508196721316,43.0,VERTICAL,864.0
2,CASTILLA 108,8,9271.0,6577.4,1.3160317693798997,168.51451612903227,32.28204301075269,94.14,289.39,3.68,9.976835770025497,4.0,HORIZONTAL,600.0
3,CASTILLA 125,8,7300.0,7293.3,0.6641727276165343,175.26600000000005,2.0899999999999994,4.13,359.03,2.43,10.452941176470588,12.0,TIPO J,384.0
4,CASTILLA 129,29,10443.1,6832.9,1.2591676853137035,240.39966386554627,37.204453781512605,88.16,338.7,4.34,10.313333333333334,19.5,TIPO J,576.0
5,CASTILLA 130,11,8683.0,7626.4,1.1054115902462318,71.1121649484536,24.485979381443293,54.8,340.82,4.72,10.385714285714286,69.5,HORIZONTAL,456.0
6,CASTILLA 137,11,8250.0,7733.1,1.2762933624771389,112.09323809523818,14.68914285714286,49.57,358.85,3.95,10.522727272727273,81.5,TIPO J,504.0
7,CASTILLA 138,4,8051.0,7704.9,1.0416311802836025,123.54131578947373,10.669473684210525,46.05,359.93,4.28,10.194117647058826,7.0,TIPO J,384.0
8,CASTILLA 139,15,9320.0,8549.8,0.960923622240395,169.85625730994153,11.55111111111111,51.62,352.4,4.94,10.0,4.5,TIPO J,744.0
9,CASTILLA 14,4,7255.5,7248.4,1.7609127766605668,204.25180180180163,1.6350675675675663,10.73,356.25,4.72,10.647435897435894,34.5,TIPO J,720.0
10,CASTILLA 14,4,7255.5,7248.4,1.7609127766605668,204.25180180180163,1.6350675675675663,10.73,356.25,4.72,10.647435897435894,34.5,VERTICAL,720.0
11,CASTILLA 144,12,7611.0,7157.8,1.0094559728542356,249.99891304347824,12.20333333333333,46.0,354.5,2.89,10.484000000000002,88.5,TIPO J,576.0
12,CASTILLA 146,30,9810.0,6945.3,1.3529288013480594,279.6454867256636,33.6933628318584,86.9,356.6,4.45,9.655797721769764,236.5,HORIZONTAL,936.0
13,CASTILLA 147,17,7757.0,7245.7,1.0231552189061532,192.08933333333337,16.233,45.21,230.39,2.59,10.178947368421051,22.0,TIPO J,432.0
14,CASTILLA 148,21,8393.0,7275.6,1.1855621843911852,144.04197916666672,21.41645833333334,63.51,357.66,3.95,10.4875,13.0,TIPO J,369.0
15,CASTILLA 149,18,9834.0,6790.9,1.2837533059726554,132.18518181818183,33.57709090909091,95.83,359.44,5.0,10.230434782608697,13.0,HORIZONTAL,552.0
16,CASTILLA 150,8,9799.0,6923.9,1.3736144009316866,104.40935779816512,31.140275229357794,91.9,353.36,4.98,9.996153846153847,24.5,HORIZONTAL,600.0
17,CASTILLA 151,6,9485.0,6846.1,1.3245737935329056,111.46194444444447,31.246944444444445,88.85,358.73,3.58,10.31578947368421,23.5,HORIZONTAL,432.0
18,CASTILLA 152,6,9808.0,6990.6,1.352722537981111,141.83678571428567,31.033392857142864,90.86,358.87,3.89,9.913793103448274,31.5,HORIZONTAL,744.0
19,CASTILLA 153,22,9393.0,6933.7,1.4000088384475062,240.34731481481478,27.88842592592593,91.15,359.74,4.63,9.558064516129033,211.5,HORIZONTAL,768.0
20,CASTILLA 156,10,8483.0,6701.6,1.4952023463368036,228.57225806451603,26.56064516129032,75.4,299.31,4.05,10.522222222222222,11.0,HORIZONTAL,408.0
21,CASTILLA 157,7,8207.0,7236.5,1.286335036059806,211.42595505617982,21.289999999999996,46.92,355.05,3.86,10.61111111111111,24.5,TIPO J,456.0
22,CASTILLA 158,6,7626.0,7133.9,1.2756855202719808,207.3703409090909,13.655170454545452,52.42,332.36,3.61,10.514285714285716,2.5,TIPO J,312.0
23,CASTILLA 159,7,8285.0,7017.2,1.3378769489292548,185.54167630057796,23.51543352601157,69.82,263.32,3.98,10.411764705882353,3.5,TIPO J,384.0
24,CASTILLA 160,8,9616.0,6928.1,1.353946245298459,166.3552173913044,30.730434782608704,86.28,298.52,4.4,10.205263157894738,6.5,VERTICAL,432.0
25,CASTILLA 161,8,9115.0,6595.1,1.4128923371163427,123.22509615384617,33.26307692307692,90.8,288.14,4.88,10.275,12.5,TIPO J,456.0
26,CASTILLA 162,9,8550.0,7326.2,1.1688018422634954,217.50186274509807,20.506960784313726,71.18,345.26,3.76,10.014285714285714,3.0,TIPO J,480.0
27,CASTILLA 163,6,8580.0,7399.0,1.2883013551265134,117.54100961538462,20.563269230769233,74.99,359.89,3.98,10.090476190476192,123.5,TIPO J,480.0
28,CASTILLA 164,12,7668.0,7447.4,0.8528853089000963,132.9317721518987,9.095822784810128,37.55,359.88,3.76,10.579999999999997,0.5,HORIZONTAL,336.0
29,CASTILLA 165,9,9491.0,7179.5,1.2376266958104731,95.00523809523816,28.201142857142855,79.33,359.57,4.38,10.357142857142858,16.0,TIPO J,480.0
30,CASTILLA 166,63,9180.0,7448.0,1.3108990401990066,96.45128712871289,24.345742574257432,76.0,354.7,3.4,10.326315789473687,1.0,TIPO J,432.0
31,CASTILLA 168,8,7857.0,7452.7,1.030325837392955,230.4831578947368,15.441578947368422,36.62,335.84,3.25,10.335294117647058,10.0,TIPO J,384.0
32,CASTILLA 170,10,8975.0,7943.6,1.314013936567597,142.55499999999998,19.27306603773585,69.95,356.45,4.3,10.373684210526315,10.5,TIPO J,432.0
33,CASTILLA 171,15,10877.0,7581.8,1.1023818522559203,146.2136516853933,25.138146067415732,91.0,356.63,3.88,9.996296296296295,0.0,TIPO J,624.0
34,CASTILLA 172,10,8188.0,7671.3,0.8444769284267476,236.6156818181817,10.671136363636368,52.94,359.82,3.76,10.3625,7.5,TIPO J,384.0
35,CASTILLA 176,5,8717.0,6605.9,1.7113929179949867,137.48584269662922,30.09887640449438,94.14,357.63,4.99,11.048228140503571,580.0,HORIZONTAL,1200.0
36,CASTILLA 177,5,9787.4,6750.1,1.561087789728732,115.03892156862749,35.64843137254902,94.64,359.82,4.23,10.061409977858638,31.0,TIPO J,504.0
37,CASTILLA 178,6,8860.0,6792.3,1.7107323732827102,152.14633663366337,30.752079207920797,92.1,316.07,4.26,10.222048192771082,4.0,TIPO J,552.0
38,CASTILLA 179,7,9786.0,6498.4,1.4038991591094951,124.95071770334921,37.64822966507177,91.83,349.57,3.63,9.968631578947365,71.5,HORIZONTAL,576.0
39,CASTILLA 181,5,7820.0,7466.2,1.017469697104523,143.78976470588236,11.705529411764704,40.2,318.62,2.49,10.2225641025641,6.5,TIPO J,310.99999999991996
40,CASTILLA 182,4,7880.0,6985.1,0.9921916324658189,314.284772727273,21.242727272727265,52.77,339.54,2.17,10.439215686274506,16.0,TIPO J,368.50000000008004
41,CASTILLA 183,4,8870.0,7658.2,1.0835504020725264,139.74948979591835,24.03989795918368,55.5,345.92,2.37,10.341999999999995,42.0,TIPO J,404.50000000008004
42,CASTILLA 184,6,8060.0,7361.8,0.86686089631792,234.0187234042552,20.49148936170213,44.97,266.53,2.13,10.070749999999995,12.0,TIPO J,324.0
43,CASTILLA 185,9,7800.0,7395.3,0.7546889586564093,213.0113793103448,15.314827586206896,31.02,243.71,2.25,10.437000000000001,17.0,TIPO J,327.0
44,CASTILLA 186,9,9025.0,7094.2,1.0544236303344199,267.680808080808,29.23969696969696,73.2,343.88,2.43,10.462187499999997,3.5,TIPO J,439.00000000008004
45,CASTILLA 187,6,7750.0,7332.6,0.826112947762586,194.18204545454543,14.865454545454543,37.47,319.83,2.37,10.238297872340423,3.0,TIPO J,312.0
46,CASTILLA 189,4,8416.0,6698.2,1.1540206319479531,95.88425531914892,29.944680851063826,62.93,359.82,2.41,10.298653846153845,22.0,TIPO J,415.99999999991996
